/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c: In function ‘main’:
/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c:175:16: error: ‘math’ undeclared (first use in this function)
         fac /= math.pow(5.0, 7.0);
                ^
/mnt/linuxlab/home/gdawson1/Ryan/COSC420/Project-1-ProjectEuler/Problem160/Template.c:175:16: note: each undeclared identifier is reported only once for each function it appears in
Rank: 71 | Start: 214 | Finish: 216
Rank: 58 | Start: 175 | Finish: 177
Rank: 22 | Start: 67 | Finish: 69
Rank: 3 | Start: 10 | Finish: 12
Rank: 92 | Start: 277 | Finish: 279
Rank: 75 | Start: 226 | Finish: 228
Rank: 63 | Start: 190 | Finish: 192
Rank: 28 | Start: 85 | Finish: 87
Rank: 65 | Start: 196 | Finish: 198
Rank: 93 | Start: 280 | Finish: 282
Rank: 25 | Start: 76 | Finish: 78
Rank: 4 | Start: 13 | Finish: 15
Rank: 51 | Start: 154 | Finish: 156
Rank: 10 | Start: 31 | Finish: 33
Rank: 79 | Start: 238 | Finish: 240
Rank: 110 | Start: 331 | Finish: 333
Rank: 41 | Start: 124 | Finish: 126
Rank: 52 | Start: 157 | Finish: 159
Rank: 12 | Start: 37 | Finish: 39
Rank: 105 | Start: 316 | Finish: 318
Rank: 46 | Start: 139 | Finish: 141
Rank: 77 | Start: 232 | Finish: 234
Rank: 67 | Start: 202 | Finish: 204
Rank: 225 | Start: 676 | Finish: 678
Rank: 239 | Start: 718 | Finish: 720
Rank: 175 | Start: 526 | Finish: 528
Rank: 169 | Start: 508 | Finish: 510
Rank: 17 | Start: 52 | Finish: 54
Rank: 107 | Start: 322 | Finish: 324
Rank: 91 | Start: 274 | Finish: 276
Rank: 35 | Start: 106 | Finish: 108
Rank: 154 | Start: 463 | Finish: 465
Rank: 54 | Start: 163 | Finish: 165
Rank: 19 | Start: 58 | Finish: 60
Rank: 151 | Start: 454 | Finish: 456
Rank: 229 | Start: 688 | Finish: 690
Rank: 113 | Start: 340 | Finish: 342
Rank: 173 | Start: 520 | Finish: 522
Rank: 37 | Start: 112 | Finish: 114
Rank: 95 | Start: 286 | Finish: 288
Rank: 2 | Start: 7 | Finish: 9
Rank: 220 | Start: 661 | Finish: 663
Rank: 69 | Start: 208 | Finish: 210
Rank: 161 | Start: 484 | Finish: 486
Rank: 168 | Start: 505 | Finish: 507
Rank: 106 | Start: 319 | Finish: 321
Rank: 39 | Start: 118 | Finish: 120
Rank: 230 | Start: 691 | Finish: 693
Rank: 72 | Start: 217 | Finish: 219
Rank: 189 | Start: 568 | Finish: 570
Rank: 119 | Start: 358 | Finish: 360
Rank: 167 | Start: 502 | Finish: 504
Rank: 38 | Start: 115 | Finish: 117
Rank: 49 | Start: 148 | Finish: 150
Rank: 15 | Start: 46 | Finish: 48
Rank: 85 | Start: 256 | Finish: 258
Rank: 160 | Start: 481 | Finish: 483
Rank: 57 | Start: 172 | Finish: 174
Rank: 20 | Start: 61 | Finish: 63
Rank: 227 | Start: 682 | Finish: 684
Rank: 176 | Start: 529 | Finish: 531
Rank: 219 | Start: 658 | Finish: 660
Rank: 112 | Start: 337 | Finish: 339
Rank: 47 | Start: 142 | Finish: 144
Rank: 82 | Start: 247 | Finish: 249
Rank: 103 | Start: 310 | Finish: 312
Rank: 165 | Start: 496 | Finish: 498
Rank: 190 | Start: 571 | Finish: 573
Rank: 55 | Start: 166 | Finish: 168
Rank: 87 | Start: 262 | Finish: 264
Rank: 236 | Start: 709 | Finish: 711
Rank: 43 | Start: 130 | Finish: 132
Rank: 16 | Start: 49 | Finish: 51
Rank: 187 | Start: 562 | Finish: 564
Rank: 144 | Start: 433 | Finish: 435
Rank: 217 | Start: 652 | Finish: 654
Rank: 60 | Start: 181 | Finish: 183
Rank: 1 | Start: 4 | Finish: 6
Rank: 115 | Start: 346 | Finish: 348
Rank: 83 | Start: 250 | Finish: 252
Rank: 228 | Start: 685 | Finish: 687
Rank: 104 | Start: 313 | Finish: 315
Rank: 44 | Start: 133 | Finish: 135
Rank: 145 | Start: 436 | Finish: 438
Rank: 210 | Start: 631 | Finish: 633
Rank: 61 | Start: 184 | Finish: 186
Rank: 182 | Start: 547 | Finish: 549
Rank: 214 | Start: 643 | Finish: 645
Rank: 89 | Start: 268 | Finish: 270
Rank: 36 | Start: 109 | Finish: 111
Rank: 14 | Start: 43 | Finish: 45
Rank: 171 | Start: 514 | Finish: 516
Rank: 5 | Start: 16 | Finish: 18
Rank: 156 | Start: 469 | Finish: 471
Rank: 68 | Start: 205 | Finish: 207
Rank: 181 | Start: 544 | Finish: 546
Rank: 216 | Start: 649 | Finish: 651
Rank: 78 | Start: 235 | Finish: 237
Rank: 201 | Start: 604 | Finish: 606
Rank: 109 | Start: 328 | Finish: 330
Rank: 221 | Start: 664 | Finish: 666
Rank: 97 | Start: 292 | Finish: 294
Rank: 29 | Start: 88 | Finish: 90
Rank: 146 | Start: 439 | Finish: 441
Rank: 195 | Start: 586 | Finish: 588
Rank: 62 | Start: 187 | Finish: 189
Rank: 27 | Start: 82 | Finish: 84
Rank: 73 | Start: 220 | Finish: 222
Rank: 0 | Start: 2 | Finish: 3
Rank: 11 | Start: 34 | Finish: 36
Rank: 211 | Start: 634 | Finish: 636
Rank: 191 | Start: 574 | Finish: 576
Rank: 149 | Start: 448 | Finish: 450
Rank: 81 | Start: 244 | Finish: 246
Rank: 53 | Start: 160 | Finish: 162
Rank: 178 | Start: 535 | Finish: 537
Rank: 232 | Start: 697 | Finish: 699
Rank: 108 | Start: 325 | Finish: 327
Rank: 205 | Start: 616 | Finish: 618
Rank: 98 | Start: 295 | Finish: 297
Rank: 226 | Start: 679 | Finish: 681
Rank: 26 | Start: 79 | Finish: 81
Rank: 159 | Start: 478 | Finish: 480
Rank: 128 | Start: 385 | Finish: 387
Rank: 137 | Start: 412 | Finish: 414
Rank: 30 | Start: 91 | Finish: 93
Rank: 50 | Start: 151 | Finish: 153
Rank: 23 | Start: 70 | Finish: 72
Rank: 76 | Start: 229 | Finish: 231
Rank: 251 | Start: 754 | Finish: 756
Rank: 256 | Start: 769 | Finish: 771
Rank: 7 | Start: 22 | Finish: 24
Rank: 202 | Start: 607 | Finish: 609
Rank: 150 | Start: 451 | Finish: 453
Rank: 170 | Start: 511 | Finish: 513
Rank: 172 | Start: 517 | Finish: 519
Rank: 88 | Start: 265 | Finish: 267
Rank: 234 | Start: 703 | Finish: 705
Rank: 70 | Start: 211 | Finish: 213
Rank: 196 | Start: 589 | Finish: 591
Rank: 96 | Start: 289 | Finish: 291
Rank: 99 | Start: 298 | Finish: 300
Rank: 237 | Start: 712 | Finish: 714
Rank: 136 | Start: 409 | Finish: 411
Rank: 42 | Start: 127 | Finish: 129
Rank: 132 | Start: 397 | Finish: 399
Rank: 158 | Start: 475 | Finish: 477
Rank: 6 | Start: 19 | Finish: 21
Rank: 240 | Start: 721 | Finish: 723
Rank: 74 | Start: 223 | Finish: 225
Rank: 247 | Start: 742 | Finish: 744
Rank: 56 | Start: 169 | Finish: 171
Rank: 32 | Start: 97 | Finish: 99
Rank: 9 | Start: 28 | Finish: 30
Rank: 100 | Start: 301 | Finish: 303
Rank: 155 | Start: 466 | Finish: 468
Rank: 215 | Start: 646 | Finish: 648
Rank: 179 | Start: 538 | Finish: 540
Rank: 231 | Start: 694 | Finish: 696
Rank: 90 | Start: 271 | Finish: 273
Rank: 212 | Start: 637 | Finish: 639
Rank: 64 | Start: 193 | Finish: 195
Rank: 233 | Start: 700 | Finish: 702
Rank: 114 | Start: 343 | Finish: 345
Rank: 138 | Start: 415 | Finish: 417
Rank: 241 | Start: 724 | Finish: 726
Rank: 164 | Start: 493 | Finish: 495
Rank: 40 | Start: 121 | Finish: 123
Rank: 250 | Start: 751 | Finish: 753
Rank: 13 | Start: 40 | Finish: 42
Rank: 101 | Start: 304 | Finish: 306
Rank: 34 | Start: 103 | Finish: 105
Rank: 122 | Start: 367 | Finish: 369
Rank: 66 | Start: 199 | Finish: 201
Rank: 186 | Start: 559 | Finish: 561
Rank: 18 | Start: 55 | Finish: 57
Rank: 157 | Start: 472 | Finish: 474
Rank: 209 | Start: 628 | Finish: 630
Rank: 183 | Start: 550 | Finish: 552
Rank: 222 | Start: 667 | Finish: 669
Rank: 80 | Start: 241 | Finish: 243
Rank: 245 | Start: 736 | Finish: 738
Rank: 206 | Start: 619 | Finish: 621
Rank: 48 | Start: 145 | Finish: 147
Rank: 116 | Start: 349 | Finish: 351
Rank: 224 | Start: 673 | Finish: 675
Rank: 94 | Start: 283 | Finish: 285
Rank: 255 | Start: 766 | Finish: 768
Rank: 33 | Start: 100 | Finish: 102
Rank: 121 | Start: 364 | Finish: 366
Rank: 45 | Start: 136 | Finish: 138
Rank: 166 | Start: 499 | Finish: 501
Rank: 118 | Start: 355 | Finish: 357
Rank: 8 | Start: 25 | Finish: 27
Rank: 59 | Start: 178 | Finish: 180
Rank: 135 | Start: 406 | Finish: 408
