Rank: 142 | Start: 6884729 | Finish: 6933212
Rank: 121 | Start: 5866565 | Finish: 5915048
Rank: 126 | Start: 6108985 | Finish: 6157468
Rank: 136 | Start: 6593825 | Finish: 6642308
Rank: 159 | Start: 7708957 | Finish: 7757440
Rank: 118 | Start: 5721113 | Finish: 5769596
Rank: 104 | Start: 5042337 | Finish: 5090820
Rank: 192 | Start: 9308929 | Finish: 9357412
Rank: 149 | Start: 7224117 | Finish: 7272600
Rank: 207 | Start: 10036189 | Finish: 10084672
Rank: 143 | Start: 6933213 | Finish: 6981696
Rank: 146 | Start: 7078665 | Finish: 7127148
Rank: 120 | Start: 5818081 | Finish: 5866564
Rank: 253 | Start: 12266453 | Finish: 12314936
Rank: 82 | Start: 3975689 | Finish: 4024172
Rank: 172 | Start: 8339249 | Finish: 8387732
Rank: 213 | Start: 10327093 | Finish: 10375576
Rank: 79 | Start: 3830237 | Finish: 3878720
Rank: 179 | Start: 8678637 | Finish: 8727120
Rank: 247 | Start: 11975549 | Finish: 12024032
Rank: 101 | Start: 4896885 | Finish: 4945368
Rank: 113 | Start: 5478693 | Finish: 5527176
Rank: 194 | Start: 9405897 | Finish: 9454380
Rank: 160 | Start: 7757441 | Finish: 7805924
Rank: 132 | Start: 6399889 | Finish: 6448372
Rank: 90 | Start: 4363561 | Finish: 4412044
Rank: 208 | Start: 10084673 | Finish: 10133156
Rank: 166 | Start: 8048345 | Finish: 8096828
Rank: 110 | Start: 5333241 | Finish: 5381724
Rank: 170 | Start: 8242281 | Finish: 8290764
Rank: 219 | Start: 10617997 | Finish: 10666480
Rank: 233 | Start: 11296773 | Finish: 11345256
Rank: 249 | Start: 12072517 | Finish: 12121000
Rank: 178 | Start: 8630153 | Finish: 8678636
Rank: 131 | Start: 6351405 | Finish: 6399888
Rank: 83 | Start: 4024173 | Finish: 4072656
Rank: 156 | Start: 7563505 | Finish: 7611988
Rank: 144 | Start: 6981697 | Finish: 7030180
Rank: 260 | Start: 12605841 | Finish: 12654324
Rank: 106 | Start: 5139305 | Finish: 5187788
Rank: 57 | Start: 2763589 | Finish: 2812072
Rank: 237 | Start: 11490709 | Finish: 11539192
Rank: 59 | Start: 2860557 | Finish: 2909040
Rank: 206 | Start: 9987705 | Finish: 10036188
Rank: 125 | Start: 6060501 | Finish: 6108984
Rank: 232 | Start: 11248289 | Finish: 11296772
Rank: 215 | Start: 10424061 | Finish: 10472544
Rank: 243 | Start: 11781613 | Finish: 11830096
Rank: 72 | Start: 3490849 | Finish: 3539332
Rank: 182 | Start: 8824089 | Finish: 8872572
Rank: 115 | Start: 5575661 | Finish: 5624144
Rank: 240 | Start: 11636161 | Finish: 11684644
Rank: 191 | Start: 9260445 | Finish: 9308928
Rank: 62 | Start: 3006009 | Finish: 3054492
Rank: 167 | Start: 8096829 | Finish: 8145312
Rank: 202 | Start: 9793769 | Finish: 9842252
Rank: 129 | Start: 6254437 | Finish: 6302920
Rank: 216 | Start: 10472545 | Finish: 10521028
Rank: 86 | Start: 4169625 | Finish: 4218108
Rank: 161 | Start: 7805925 | Finish: 7854408
Rank: 248 | Start: 12024033 | Finish: 12072516
Rank: 114 | Start: 5527177 | Finish: 5575660
Rank: 49 | Start: 2375717 | Finish: 2424200
Rank: 19 | Start: 921197 | Finish: 969680
Rank: 128 | Start: 6205953 | Finish: 6254436
Rank: 17 | Start: 824229 | Finish: 872712
Rank: 209 | Start: 10133157 | Finish: 10181640
Rank: 224 | Start: 10860417 | Finish: 10908900
Rank: 116 | Start: 5624145 | Finish: 5672628
Rank: 169 | Start: 8193797 | Finish: 8242280
Rank: 196 | Start: 9502865 | Finish: 9551348
Rank: 76 | Start: 3684785 | Finish: 3733268
Rank: 164 | Start: 7951377 | Finish: 7999860
Rank: 15 | Start: 727261 | Finish: 775744
Rank: 228 | Start: 11054353 | Finish: 11102836
Rank: 258 | Start: 12508873 | Finish: 12557356
Rank: 66 | Start: 3199945 | Finish: 3248428
Rank: 186 | Start: 9018025 | Finish: 9066508
Rank: 162 | Start: 7854409 | Finish: 7902892
Rank: 141 | Start: 6836245 | Finish: 6884728
Rank: 12 | Start: 581809 | Finish: 630292
Rank: 263 | Start: 12751293 | Finish: 12800000
Rank: 93 | Start: 4509013 | Finish: 4557496
Rank: 96 | Start: 4654465 | Finish: 4702948
Rank: 152 | Start: 7369569 | Finish: 7418052
Rank: 61 | Start: 2957525 | Finish: 3006008
Rank: 205 | Start: 9939221 | Finish: 9987704
Rank: 111 | Start: 5381725 | Finish: 5430208
Rank: 138 | Start: 6690793 | Finish: 6739276
Rank: 199 | Start: 9648317 | Finish: 9696800
Rank: 16 | Start: 775745 | Finish: 824228
Rank: 175 | Start: 8484701 | Finish: 8533184
Rank: 239 | Start: 11587677 | Finish: 11636160
Rank: 77 | Start: 3733269 | Finish: 3781752
Rank: 254 | Start: 12314937 | Finish: 12363420
Rank: 225 | Start: 10908901 | Finish: 10957384
Rank: 69 | Start: 3345397 | Finish: 3393880
Rank: 197 | Start: 9551349 | Finish: 9599832
Rank: 168 | Start: 8145313 | Finish: 8193796
Rank: 123 | Start: 5963533 | Finish: 6012016
Rank: 222 | Start: 10763449 | Finish: 10811932
Rank: 108 | Start: 5236273 | Finish: 5284756
Rank: 154 | Start: 7466537 | Finish: 7515020
Rank: 153 | Start: 7418053 | Finish: 7466536
Rank: 84 | Start: 4072657 | Finish: 4121140
Rank: 117 | Start: 5672629 | Finish: 5721112
Rank: 58 | Start: 2812073 | Finish: 2860556
Rank: 245 | Start: 11878581 | Finish: 11927064
Rank: 133 | Start: 6448373 | Finish: 6496856
Rank: 204 | Start: 9890737 | Finish: 9939220
Rank: 171 | Start: 8290765 | Finish: 8339248
Rank: 3 | Start: 145453 | Finish: 193936
Rank: 256 | Start: 12411905 | Finish: 12460388
Rank: 89 | Start: 4315077 | Finish: 4363560
Rank: 195 | Start: 9454381 | Finish: 9502864
Rank: 230 | Start: 11151321 | Finish: 11199804
Rank: 163 | Start: 7902893 | Finish: 7951376
Rank: 11 | Start: 533325 | Finish: 581808
Rank: 70 | Start: 3393881 | Finish: 3442364
Rank: 134 | Start: 6496857 | Finish: 6545340
Rank: 102 | Start: 4945369 | Finish: 4993852
Rank: 177 | Start: 8581669 | Finish: 8630152
Rank: 236 | Start: 11442225 | Finish: 11490708
Rank: 155 | Start: 7515021 | Finish: 7563504
Rank: 94 | Start: 4557497 | Finish: 4605980
Rank: 97 | Start: 4702949 | Finish: 4751432
Rank: 60 | Start: 2909041 | Finish: 2957524
Rank: 246 | Start: 11927065 | Finish: 11975548
Rank: 137 | Start: 6642309 | Finish: 6690792
Rank: 210 | Start: 10181641 | Finish: 10230124
Rank: 183 | Start: 8872573 | Finish: 8921056
Rank: 157 | Start: 7611989 | Finish: 7660472
Rank: 262 | Start: 12702809 | Finish: 12751292
